001  00317 |Loss: 1.907 | Acc: 25.298%
001  00318 |Loss: 1.907 | Acc: 25.283%
001  00319 |Loss: 1.907 | Acc: 25.353%
001  00320 |Loss: 1.906 | Acc: 25.425%
001  00321 |Loss: 1.907 | Acc: 25.477%
001  00322 |Loss: 1.906 | Acc: 25.539%
001  00323 |Loss: 1.905 | Acc: 25.612%
001  00324 |Loss: 1.905 | Acc: 25.557%
001  00325 |Loss: 1.905 | Acc: 25.591%
001  00326 |Loss: 1.905 | Acc: 25.561%
001  00327 |Loss: 1.903 | Acc: 25.511%
001  00328 |Loss: 1.902 | Acc: 25.603%
001  00329 |Loss: 1.902 | Acc: 25.570%
001  00330 |Loss: 1.901 | Acc: 25.656%
001  00331 |Loss: 1.901 | Acc: 25.625%
001  00332 |Loss: 1.899 | Acc: 25.711%
001  00333 |Loss: 1.899 | Acc: 25.676%
001  00334 |Loss: 1.898 | Acc: 25.627%
001  00335 |Loss: 1.897 | Acc: 25.695%
001  00336 |Loss: 1.897 | Acc: 25.746%
001  00337 |Loss: 1.896 | Acc: 25.832%
001  00338 |Loss: 1.896 | Acc: 25.788%
001  00339 |Loss: 1.896 | Acc: 25.832%
001  00340 |Loss: 1.896 | Acc: 25.809%
001  00341 |Loss: 1.895 | Acc: 25.761%
001  00342 |Loss: 1.894 | Acc: 25.829%
001  00343 |Loss: 1.893 | Acc: 25.774%
001  00344 |Loss: 1.893 | Acc: 25.806%
001  00345 |Loss: 1.893 | Acc: 25.799%
001  00346 |Loss: 1.894 | Acc: 25.770%
001  00347 |Loss: 1.894 | Acc: 25.763%
001  00348 |Loss: 1.894 | Acc: 25.842%
001  00349 |Loss: 1.893 | Acc: 25.909%
001  00350 |Loss: 1.893 | Acc: 25.871%
001  00351 |Loss: 1.893 | Acc: 25.897%
001  00352 |Loss: 1.893 | Acc: 25.914%
001  00353 |Loss: 1.893 | Acc: 25.952%
001  00354 |Loss: 1.892 | Acc: 25.916%
001  00355 |Loss: 1.892 | Acc: 25.882%
001  00356 |Loss: 1.892 | Acc: 25.926%
001  00357 |Loss: 1.892 | Acc: 25.961%
001  00358 |Loss: 1.892 | Acc: 25.960%
001  00359 |Loss: 1.892 | Acc: 25.916%
001  00360 |Loss: 1.892 | Acc: 25.953%
001  00361 |Loss: 1.891 | Acc: 25.913%
001  00362 |Loss: 1.891 | Acc: 25.885%
001  00363 |Loss: 1.891 | Acc: 25.842%
001  00364 |Loss: 1.890 | Acc: 25.899%
001  00365 |Loss: 1.890 | Acc: 25.955%
001  00366 |Loss: 1.889 | Acc: 25.903%
001  00367 |Loss: 1.888 | Acc: 25.979%
001  00368 |Loss: 1.888 | Acc: 25.989%
001  00369 |Loss: 1.888 | Acc: 25.944%
001  00370 |Loss: 1.888 | Acc: 25.969%
001  00371 |Loss: 1.887 | Acc: 25.929%
001  00372 |Loss: 1.887 | Acc: 25.888%
001  00373 |Loss: 1.886 | Acc: 25.959%
001  00374 |Loss: 1.885 | Acc: 26.034%
001  00375 |Loss: 1.884 | Acc: 26.002%
001  00376 |Loss: 1.883 | Acc: 25.962%
001  00377 |Loss: 1.883 | Acc: 25.957%
001  00378 |Loss: 1.883 | Acc: 25.920%
001  00379 |Loss: 1.883 | Acc: 25.989%
001  00380 |Loss: 1.882 | Acc: 25.964%
001  00381 |Loss: 1.882 | Acc: 26.038%
001  00382 |Loss: 1.881 | Acc: 26.113%
001  00383 |Loss: 1.879 | Acc: 26.061%
001  00384 |Loss: 1.879 | Acc: 26.152%
001  00385 |Loss: 1.878 | Acc: 26.112%
001  00386 |Loss: 1.877 | Acc: 26.101%
001  00387 |Loss: 1.877 | Acc: 26.171%
001  00388 |Loss: 1.876 | Acc: 26.242%
001  00389 |Loss: 1.876 | Acc: 26.223%
001  00390 |Loss: 1.875 | Acc: 26.306%
001  00391 |Loss: 1.875 | Acc: 26.300%
002  00392 |Loss: 1.795 | Acc: 50.000%
002  00393 |Loss: 1.806 | Acc: 31.250%
002  00394 |Loss: 1.677 | Acc: 37.760%
002  00395 |Loss: 1.719 | Acc: 39.844%
002  00396 |Loss: 1.666 | Acc: 42.969%
002  00397 |Loss: 1.628 | Acc: 45.573%
002  00398 |Loss: 1.652 | Acc: 45.089%
002  00399 |Loss: 1.687 | Acc: 44.922%
002  00400 |Loss: 1.658 | Acc: 46.181%
002  00401 |Loss: 1.691 | Acc: 45.000%
002  00402 |Loss: 1.719 | Acc: 42.898%
002  00403 |Loss: 1.704 | Acc: 40.560%
002  00404 |Loss: 1.695 | Acc: 41.587%
002  00405 |Loss: 1.709 | Acc: 40.179%
002  00406 |Loss: 1.722 | Acc: 39.271%
002  00407 |Loss: 1.724 | Acc: 40.234%
002  00408 |Loss: 1.710 | Acc: 38.511%
002  00409 |Loss: 1.713 | Acc: 39.193%
002  00410 |Loss: 1.719 | Acc: 38.076%
002  00411 |Loss: 1.722 | Acc: 37.109%
002  00412 |Loss: 1.731 | Acc: 36.793%
002  00413 |Loss: 1.716 | Acc: 37.571%
002  00414 |Loss: 1.726 | Acc: 37.330%
002  00415 |Loss: 1.712 | Acc: 37.988%
002  00416 |Loss: 1.723 | Acc: 37.219%
002  00417 |Loss: 1.724 | Acc: 36.058%
002  00418 |Loss: 1.710 | Acc: 35.359%
002  00419 |Loss: 1.708 | Acc: 36.077%
002  00420 |Loss: 1.700 | Acc: 36.773%
002  00421 |Loss: 1.702 | Acc: 37.214%
002  00422 |Loss: 1.710 | Acc: 36.895%
002  00423 |Loss: 1.704 | Acc: 37.671%
002  00424 |Loss: 1.704 | Acc: 37.027%
002  00425 |Loss: 1.709 | Acc: 36.972%
002  00426 |Loss: 1.719 | Acc: 36.897%
002  00427 |Loss: 1.718 | Acc: 36.263%
002  00428 |Loss: 1.711 | Acc: 36.698%
002  00429 |Loss: 1.715 | Acc: 36.143%
002  00430 |Loss: 1.711 | Acc: 35.817%
002  00431 |Loss: 1.700 | Acc: 36.445%
002  00432 |Loss: 1.695 | Acc: 35.823%
002  00433 |Loss: 1.699 | Acc: 35.435%
002  00434 |Loss: 1.698 | Acc: 35.865%
002  00435 |Loss: 1.697 | Acc: 35.298%
002  00436 |Loss: 1.684 | Acc: 34.757%
002  00437 |Loss: 1.689 | Acc: 34.918%
002  00438 |Loss: 1.692 | Acc: 35.289%
002  00439 |Loss: 1.696 | Acc: 35.205%
002  00440 |Loss: 1.701 | Acc: 34.837%
002  00441 |Loss: 1.702 | Acc: 35.219%
002  00442 |Loss: 1.698 | Acc: 35.677%
002  00443 |Loss: 1.704 | Acc: 35.352%
002  00444 |Loss: 1.703 | Acc: 34.876%
002  00445 |Loss: 1.698 | Acc: 35.229%
002  00446 |Loss: 1.701 | Acc: 35.270%
002  00447 |Loss: 1.705 | Acc: 34.821%
002  00448 |Loss: 1.705 | Acc: 35.143%
002  00449 |Loss: 1.708 | Acc: 34.981%
002  00450 |Loss: 1.710 | Acc: 35.143%
002  00451 |Loss: 1.710 | Acc: 35.469%
002  00452 |Loss: 1.706 | Acc: 35.118%
002  00453 |Loss: 1.707 | Acc: 34.753%
002  00454 |Loss: 1.711 | Acc: 34.797%
002  00455 |Loss: 1.712 | Acc: 35.120%
002  00456 |Loss: 1.710 | Acc: 35.433%
002  00457 |Loss: 1.708 | Acc: 35.121%
002  00458 |Loss: 1.704 | Acc: 35.378%
002  00459 |Loss: 1.704 | Acc: 35.662%
002  00460 |Loss: 1.706 | Acc: 35.292%
002  00461 |Loss: 1.700 | Acc: 35.603%
002  00462 |Loss: 1.695 | Acc: 35.960%
002  00463 |Loss: 1.693 | Acc: 35.623%
002  00464 |Loss: 1.697 | Acc: 35.691%
002  00465 |Loss: 1.691 | Acc: 36.022%
002  00466 |Loss: 1.690 | Acc: 35.740%
002  00467 |Loss: 1.687 | Acc: 36.102%
002  00468 |Loss: 1.684 | Acc: 35.795%
002  00469 |Loss: 1.681 | Acc: 36.068%
002  00470 |Loss: 1.684 | Acc: 36.165%
002  00471 |Loss: 1.677 | Acc: 36.445%
002  00472 |Loss: 1.680 | Acc: 36.236%
002  00473 |Loss: 1.682 | Acc: 36.138%
002  00474 |Loss: 1.677 | Acc: 36.399%
002  00475 |Loss: 1.676 | Acc: 36.086%
002  00476 |Loss: 1.679 | Acc: 36.149%
002  00477 |Loss: 1.680 | Acc: 36.401%
002  00478 |Loss: 1.678 | Acc: 36.647%
002  00479 |Loss: 1.678 | Acc: 36.355%
002  00480 |Loss: 1.675 | Acc: 36.122%
002  00481 |Loss: 1.674 | Acc: 35.781%
002  00482 |Loss: 1.675 | Acc: 35.560%
002  00483 |Loss: 1.678 | Acc: 35.623%
002  00484 |Loss: 1.680 | Acc: 35.727%
002  00485 |Loss: 1.677 | Acc: 35.879%
002  00486 |Loss: 1.675 | Acc: 35.641%
002  00487 |Loss: 1.676 | Acc: 35.571%
002  00488 |Loss: 1.677 | Acc: 35.301%
002  00489 |Loss: 1.675 | Acc: 35.077%
002  00490 |Loss: 1.671 | Acc: 34.793%
002  00491 |Loss: 1.673 | Acc: 34.922%
002  00492 |Loss: 1.674 | Acc: 34.739%
002  00493 |Loss: 1.676 | Acc: 34.773%
002  00494 |Loss: 1.678 | Acc: 34.891%
002  00495 |Loss: 1.679 | Acc: 34.893%
002  00496 |Loss: 1.676 | Acc: 34.695%
002  00497 |Loss: 1.678 | Acc: 34.685%
002  00498 |Loss: 1.675 | Acc: 34.455%
002  00499 |Loss: 1.677 | Acc: 34.527%
002  00500 |Loss: 1.676 | Acc: 34.339%
002  00501 |Loss: 1.672 | Acc: 34.119%
002  00502 |Loss: 1.672 | Acc: 33.903%
002  00503 |Loss: 1.674 | Acc: 34.005%
002  00504 |Loss: 1.676 | Acc: 34.071%
002  00505 |Loss: 1.672 | Acc: 33.923%
002  00506 |Loss: 1.671 | Acc: 33.716%
002  00507 |Loss: 1.672 | Acc: 33.553%
002  00508 |Loss: 1.670 | Acc: 33.794%
002  00509 |Loss: 1.672 | Acc: 33.872%
002  00510 |Loss: 1.670 | Acc: 34.060%
002  00511 |Loss: 1.671 | Acc: 33.906%
002  00512 |Loss: 1.669 | Acc: 33.736%
002  00513 |Loss: 1.670 | Acc: 33.837%
002  00514 |Loss: 1.671 | Acc: 33.873%
002  00515 |Loss: 1.670 | Acc: 34.104%
002  00516 |Loss: 1.671 | Acc: 34.263%
002  00517 |Loss: 1.669 | Acc: 34.412%
002  00518 |Loss: 1.671 | Acc: 34.357%
002  00519 |Loss: 1.671 | Acc: 34.564%
002  00520 |Loss: 1.673 | Acc: 34.532%
002  00521 |Loss: 1.672 | Acc: 34.363%
002  00522 |Loss: 1.672 | Acc: 34.530%
002  00523 |Loss: 1.674 | Acc: 34.440%
002  00524 |Loss: 1.674 | Acc: 34.263%
002  00525 |Loss: 1.672 | Acc: 34.054%
002  00526 |Loss: 1.670 | Acc: 34.213%
002  00527 |Loss: 1.672 | Acc: 34.243%
002  00528 |Loss: 1.670 | Acc: 34.073%
002  00529 |Loss: 1.667 | Acc: 33.928%
002  00530 |Loss: 1.667 | Acc: 34.077%
002  00531 |Loss: 1.670 | Acc: 34.023%
002  00532 |Loss: 1.669 | Acc: 33.854%
002  00533 |Loss: 1.671 | Acc: 33.775%
002  00534 |Loss: 1.669 | Acc: 34.003%
